candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,specific_business,general_industry,broad_sector,#_of_records,total_$
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,NONPROFIT FOUNDATIONS,NONPROFIT INSTITUTIONS,GOVERNMENT AGENCIES/EDUCATION/OTHER,99,"$54,049"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,"ENGINEERING, ARCHITECTURE & CONSTRUCTION MANAGEMENT SERVICES",CONSTRUCTION SERVICES,CONSTRUCTION,297,"$53,137"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,RESTAURANTS & DRINKING ESTABLISHMENTS,FOOD & BEVERAGE,GENERAL BUSINESS,54,"$52,815"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,RAILROADS,RAILROADS,ENERGY & NATURAL RESOURCES,37,"$51,000"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,MANAGEMENT CONSULTANTS & SERVICES,BUSINESS SERVICES,GENERAL BUSINESS,267,"$48,692"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,EDUCATION,EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,397,"$45,533"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,ADVERTISING & PUBLIC RELATIONS SERVICES,BUSINESS SERVICES,GENERAL BUSINESS,119,"$43,488"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,"PUBLIC SCHOOL TEACHERS, ADMINISTRATORS & OFFICIALS",EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,327,"$42,478"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,CHEMICALS,CHEMICAL & RELATED MANUFACTURING,GENERAL BUSINESS,73,"$42,303"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,COMPUTER SOFTWARE,COMPUTER EQUIPMENT & SERVICES,COMMUNICATIONS & ELECTRONICS,101,"$41,077"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,EDUCATION,EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,232,"$41,031"
